trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
974,15:22:00,15:22:00,36994,5,0,0,1.7716
974,15:24:00,15:24:00,36995,6,0,0,2.0661
974,15:26:00,15:26:00,36996,7,0,0,2.4739
974,15:27:00,15:27:00,36997,8,0,0,2.7513
974,15:30:00,15:30:00,36998,9,0,0,3.4326
974,15:33:00,15:33:00,37002,10,0,0,4.8544
974,15:34:00,15:34:00,37003,11,0,0,5.5023
974,15:36:00,15:36:00,37004,12,0,0,6.7125
974,15:38:00,15:38:00,37005,13,0,0,7.2748
974,15:40:00,15:40:00,38229,14,0,0,8.1350
974,15:43:00,15:43:00,42673,15,0,0,9.0369
975,15:30:00,15:30:00,39348,1,0,0,0.0000
975,15:33:00,15:33:00,37378,2,0,0,0.8826
975,15:35:00,15:35:00,37377,3,0,0,1.1756
975,15:37:00,15:37:00,37376,4,0,0,1.5225
975,15:39:00,15:39:00,36994,5,0,0,1.7716
975,15:41:00,15:41:00,36995,6,0,0,2.0661
975,15:43:00,15:43:00,36996,7,0,0,2.4739
975,15:44:00,15:44:00,36997,8,0,0,2.7513
975,15:47:00,15:47:00,36998,9,0,0,3.4326
975,15:50:00,15:50:00,37002,10,0,0,4.8544
975,15:51:00,15:51:00,37003,11,0,0,5.5023
975,15:53:00,15:53:00,37004,12,0,0,6.7125
975,15:55:00,15:55:00,37005,13,0,0,7.2748
975,15:57:00,15:57:00,38229,14,0,0,8.1350
975,16:00:00,16:00:00,42673,15,0,0,9.0369
976,15:44:00,15:44:00,39348,1,0,0,0.0000
976,15:47:00,15:47:00,37378,2,0,0,0.8826
976,15:49:00,15:49:00,37377,3,0,0,1.1756
976,15:51:00,15:51:00,37376,4,0,0,1.5225
976,15:53:00,15:53:00,36994,5,0,0,1.7716
976,15:55:00,15:55:00,36995,6,0,0,2.0661
976,15:57:00,15:57:00,36996,7,0,0,2.4739
976,15:58:00,15:58:00,36997,8,0,0,2.7513
976,16:01:00,16:01:00,36998,9,0,0,3.4326
976,16:04:00,16:04:00,37002,10,0,0,4.8544
976,16:05:00,16:05:00,37003,11,0,0,5.5023
976,16:07:00,16:07:00,37004,12,0,0,6.7125
976,16:09:00,16:09:00,37005,13,0,0,7.2748
976,16:11:00,16:11:00,38229,14,0,0,8.1350
976,16:14:00,16:14:00,42673,15,0,0,9.0369
977,15:52:00,15:52:00,39348,1,0,0,0.0000
977,15:55:00,15:55:00,37378,2,0,0,0.8826
977,15:57:00,15:57:00,37377,3,0,0,1.1756
977,15:59:00,15:59:00,37376,4,0,0,1.5225
977,16:01:00,16:01:00,36994,5,0,0,1.7716
977,16:03:00,16:03:00,36995,6,0,0,2.0661
977,16:05:00,16:05:00,36996,7,0,0,2.4739
977,16:06:00,16:06:00,36997,8,0,0,2.7513
977,16:09:00,16:09:00,36998,9,0,0,3.4326
977,16:12:00,16:12:00,37002,10,0,0,4.8544
977,16:13:00,16:13:00,37003,11,0,0,5.5023
977,16:15:00,16:15:00,37004,12,0,0,6.7125
977,16:17:00,16:17:00,37005,13,0,0,7.2748
977,16:19:00,16:19:00,38229,14,0,0,8.1350
977,16:22:00,16:22:00,42673,15,0,0,9.0369
978,16:16:00,16:16:00,39348,1,0,0,0.0000
978,16:19:00,16:19:00,37378,2,0,0,0.8826
978,16:21:00,16:21:00,37377,3,0,0,1.1756
978,16:23:00,16:23:00,37376,4,0,0,1.5225
978,16:25:00,16:25:00,36994,5,0,0,1.7716
978,16:27:00,16:27:00,36995,6,0,0,2.0661
978,16:29:00,16:29:00,36996,7,0,0,2.4739
978,16:30:00,16:30:00,36997,8,0,0,2.7513
978,16:33:00,16:33:00,36998,9,0,0,3.4326
978,16:36:00,16:36:00,37002,10,0,0,4.8544
978,16:37:00,16:37:00,37003,11,0,0,5.5023
978,16:39:00,16:39:00,37004,12,0,0,6.7125
978,16:41:00,16:41:00,37005,13,0,0,7.2748
978,16:43:00,16:43:00,38229,14,0,0,8.1350
978,16:46:00,16:46:00,42673,15,0,0,9.0369
979,16:47:00,16:47:00,39348,1,0,0,0.0000
979,16:50:00,16:50:00,37378,2,0,0,0.8826
979,16:52:00,16:52:00,37377,3,0,0,1.1756
979,16:54:00,16:54:00,37376,4,0,0,1.5225
979,16:56:00,16:56:00,36994,5,0,0,1.7716
979,16:58:00,16:58:00,36995,6,0,0,2.0661
979,17:00:00,17:00:00,36996,7,0,0,2.4739
979,17:01:00,17:01:00,36997,8,0,0,2.7513
979,17:04:00,17:04:00,36998,9,0,0,3.4326
979,17:07:00,17:07:00,37002,10,0,0,4.8544
979,17:08:00,17:08:00,37003,11,0,0,5.5023
979,17:10:00,17:10:00,37004,12,0,0,6.7125
979,17:12:00,17:12:00,37005,13,0,0,7.2748
979,17:14:00,17:14:00,38229,14,0,0,8.1350
979,17:17:00,17:17:00,42673,15,0,0,9.0369
980,16:59:00,16:59:00,39348,1,0,0,0.0000
980,17:02:00,17:02:00,37378,2,0,0,0.8826
980,17:04:00,17:04:00,37377,3,0,0,1.1756
980,17:06:00,17:06:00,37376,4,0,0,1.5225
980,17:08:00,17:08:00,36994,5,0,0,1.7716
980,17:10:00,17:10:00,36995,6,0,0,2.0661
980,17:12:00,17:12:00,36996,7,0,0,2.4739
980,17:13:00,17:13:00,36997,8,0,0,2.7513
980,17:16:00,17:16:00,36998,9,0,0,3.4326
